provinsi,tahun,pulau,latitude,longitude,nilai_output_mikro,nilai_output_kecil,perusahaan_mikro,perusahaan_kecil,jumlah_perusahaan,tenaga_kerja_mikro,tenaga_kerja_kecil,jumlah_tenaga_kerja,cluster_raw,cluster,kategori_cluster,Kategori_Cluster,nilai_output,cluster_id
PAPUA,2017,Maluku & Papua,-4.269928,138.080353,1689611.0,629354.0,11972.0,509.0,12481.0,21738.0,3583.0,25321.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2318965.0,0
KALIMANTAN SELATAN,2017,Kalimantan,-3.093082,115.283366,4523169.0,1613434.0,86223.0,2049.0,88272.0,129443.0,14938.0,144381.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,6136603.0,0
KALIMANTAN TIMUR,2017,Kalimantan,1.681488,116.419389,3320048.0,968310.0,31646.0,1452.0,33098.0,55407.0,9351.0,64758.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4288358.0,0
KEP. RIAU,2017,Sumatera,3.945398,108.142571,3333472.0,1196843.0,32949.0,1445.0,34394.0,52211.0,8719.0,60930.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4530315.0,0
SUMATERA BARAT,2017,Sumatera,-0.739864,100.800018,8981865.0,2822118.0,112127.0,4412.0,116539.0,186316.0,31267.0,217583.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,11803983.0,2
BALI,2017,Bali & Nusa Tenggara,-8.340539,115.091949,11115184.0,5756181.0,140097.0,9082.0,149179.0,228277.0,68534.0,296811.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,16871365.0,2
PAPUA TENGAH,2018,Maluku & Papua,-4.0,136.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
PAPUA PEGUNUNGAN,2018,Maluku & Papua,-4.5,138.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
SULAWESI BARAT,2018,Sulawesi,-2.840676,119.23247,1231143.0,151479.0,26197.0,495.0,26692.0,48139.0,3072.0,51211.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1382622.0,0
ACEH,2018,Sumatera,4.695135,96.749397,6795754.0,2012485.0,110701.0,3341.0,114042.0,179898.0,24414.0,204312.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,8808239.0,2
BENGKULU,2018,Sumatera,-3.79313,102.265808,2640432.0,318587.0,27931.0,340.0,28271.0,49431.0,2446.0,51877.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2959019.0,0
SUMATERA SELATAN,2018,Sumatera,-3.319009,103.914399,8725800.0,3877991.0,68082.0,5482.0,73564.0,133139.0,36873.0,170012.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,12603791.0,2
DKI JAKARTA,2018,Jawa,-6.211544,106.845172,5921752.0,10400985.0,28059.0,9791.0,37850.0,61674.0,87570.0,149244.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,16322737.0,2
DI YOGYAKARTA,2018,Jawa,-7.873783,110.425706,5566152.0,4185443.0,107489.0,5941.0,113430.0,168421.0,48382.0,216803.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,9751595.0,2
JAWA TIMUR,2018,Jawa,-7.536068,112.238425,64317547.0,23910199.0,694062.0,85328.0,779390.0,1333853.0,780600.0,2114453.0,2,3,Cluster 3: Sangat Tinggi (Mikro Dominan),Cluster 3: Raksasa IMK (Mikro Dominan),88227746.0,1
SULAWESI SELATAN,2018,Sulawesi,-3.665354,119.97248,10132397.0,2835320.0,107643.0,1536.0,109179.0,195453.0,12356.0,207809.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,12967717.0,2
KALIMANTAN BARAT,2018,Kalimantan,-0.138716,109.332657,3975120.0,861932.0,49533.0,3302.0,52835.0,91612.0,20915.0,112527.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4837052.0,0
KALIMANTAN SELATAN,2018,Kalimantan,-3.093082,115.283366,3720472.0,1493353.0,68383.0,1979.0,70362.0,106071.0,15122.0,121193.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),5213825.0,0
NUSA TENGGARA TIMUR,2018,Bali & Nusa Tenggara,-8.657384,121.079107,4874400.0,515372.0,160706.0,1528.0,162234.0,270440.0,11029.0,281469.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,5389772.0,2
KALIMANTAN TENGAH,2018,Kalimantan,-1.681488,113.382355,3062950.0,408588.0,30830.0,810.0,31640.0,53747.0,4780.0,58527.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3471538.0,0
KALIMANTAN TIMUR,2018,Kalimantan,1.681488,116.419389,5599753.0,793465.0,32659.0,1066.0,33725.0,56530.0,7160.0,63690.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),6393218.0,0
MALUKU UTARA,2018,Maluku & Papua,1.570696,127.808189,3897434.0,329228.0,28859.0,452.0,29311.0,47917.0,2847.0,50764.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4226662.0,0
PAPUA SELATAN,2018,Maluku & Papua,-6.75,140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
JAMBI,2018,Sumatera,-1.612129,103.611496,3490856.0,1064130.0,33495.0,1069.0,34564.0,61221.0,8450.0,69671.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4554986.0,0
PAPUA,2018,Maluku & Papua,-4.269928,138.080353,1537853.0,220870.0,15571.0,271.0,15842.0,25970.0,1806.0,27776.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1758723.0,0
PAPUA BARAT DAYA,2018,Maluku & Papua,-1.8,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
JAWA TENGAH,2018,Jawa,-7.150975,110.140259,83666788.0,35147392.0,865215.0,49635.0,914850.0,1491301.0,396994.0,1888295.0,1,2,Cluster 2: Sedang / Potensial,Cluster 2: Produktivitas IMK Sedang,118814180.0,1
SULAWESI UTARA,2018,Sulawesi,0.627019,123.975107,3176011.0,560584.0,47820.0,631.0,48451.0,90315.0,4332.0,94647.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3736595.0,0
JAWA BARAT,2018,Jawa,-7.090911,107.668887,49726582.0,34226596.0,493784.0,42423.0,536207.0,935766.0,358454.0,1294220.0,1,2,Cluster 2: Sedang / Potensial,Cluster 2: Produktivitas IMK Sedang,83953178.0,3
PAPUA BARAT,2018,Maluku & Papua,-1.336246,133.174595,929843.0,254286.0,7080.0,226.0,7306.0,11958.0,1649.0,13607.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1184129.0,0
RIAU,2018,Sumatera,0.293491,101.706513,9266144.0,2204963.0,75215.0,2661.0,77876.0,141743.0,19291.0,161034.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,11471107.0,2
GORONTALO,2018,Sulawesi,0.699526,122.446341,1736235.0,787801.0,28040.0,1982.0,30022.0,50276.0,14536.0,64812.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2524036.0,0
SULAWESI TENGGARA,2018,Sulawesi,-4.14576,122.174605,4581725.0,206715.0,69374.0,620.0,69994.0,134649.0,4594.0,139243.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4788440.0,0
KEP. BANGKA BELITUNG,2018,Sumatera,-2.741051,106.440903,2188200.0,485788.0,25027.0,561.0,25588.0,39027.0,4186.0,43213.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2673988.0,0
NUSA TENGGARA BARAT,2018,Bali & Nusa Tenggara,-8.652406,117.361649,5474489.0,2797738.0,86213.0,9992.0,96205.0,130693.0,128447.0,259140.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,8272227.0,2
KALIMANTAN UTARA,2018,Kalimantan,3.073798,116.041703,648675.0,118016.0,5939.0,143.0,6082.0,10749.0,1204.0,11953.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),766691.0,0
MALUKU,2018,Maluku & Papua,-3.238929,130.145295,2191314.0,144502.0,45771.0,188.0,45959.0,68025.0,1024.0,69049.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2335816.0,0
SULAWESI TENGAH,2018,Sulawesi,-1.430318,121.445017,3485271.0,521088.0,83028.0,6396.0,89424.0,188628.0,38561.0,227189.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,4006359.0,2
BALI,2018,Bali & Nusa Tenggara,-8.340539,115.091949,8206590.0,3749432.0,114363.0,4146.0,118509.0,175761.0,30908.0,206669.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,11956022.0,2
SUMATERA UTARA,2018,Sumatera,2.11583,99.538753,13781637.0,7177698.0,133221.0,7387.0,140608.0,238152.0,54335.0,292487.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,20959335.0,2
KEP. RIAU,2018,Sumatera,3.945398,108.142571,2582803.0,837905.0,29013.0,982.0,29995.0,46903.0,7242.0,54145.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3420708.0,0
SUMATERA BARAT,2018,Sumatera,-0.739864,100.800018,9363817.0,6432388.0,104296.0,4292.0,108588.0,171100.0,31230.0,202330.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,15796205.0,2
LAMPUNG,2018,Sumatera,-4.557573,105.406811,10666384.0,1480884.0,93011.0,2482.0,95493.0,185881.0,16894.0,202775.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,12147268.0,2
BANTEN,2018,Jawa,-6.405876,106.102921,13237386.0,10056070.0,101727.0,8232.0,109959.0,189491.0,68621.0,258112.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,23293456.0,2
PAPUA TENGAH,2019,Maluku & Papua,-4.0,136.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
PAPUA SELATAN,2019,Maluku & Papua,-6.75,140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
DI YOGYAKARTA,2019,Jawa,-7.873783,110.425706,10180791.0,3825921.0,140215.0,6443.0,146658.0,247834.0,51118.0,298952.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,14006712.0,2
ACEH,2019,Sumatera,4.695135,96.749397,6287024.0,1325978.0,104801.0,2117.0,106918.0,172364.0,14395.0,186759.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,7613002.0,2
BENGKULU,2019,Sumatera,-3.79313,102.265808,2259287.0,435819.0,21144.0,523.0,21667.0,40011.0,3705.0,43716.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2695106.0,0
SUMATERA BARAT,2019,Sumatera,-0.739864,100.800018,8495123.0,2186106.0,97978.0,2734.0,100712.0,165544.0,20273.0,185817.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,10681229.0,2
RIAU,2019,Sumatera,0.293491,101.706513,5741458.0,965199.0,58320.0,1517.0,59837.0,107393.0,12022.0,119415.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),6706657.0,0
DKI JAKARTA,2019,Jawa,-6.211544,106.845172,12023299.0,13637841.0,50030.0,12899.0,62929.0,105517.0,109213.0,214730.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,25661140.0,2
PAPUA BARAT DAYA,2019,Maluku & Papua,-1.8,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
PAPUA BARAT,2019,Maluku & Papua,-1.336246,133.174595,961699.0,82156.0,6645.0,98.0,6743.0,11826.0,611.0,12437.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1043855.0,0
NUSA TENGGARA TIMUR,2019,Bali & Nusa Tenggara,-8.657384,121.079107,3769162.0,312240.0,139485.0,678.0,140163.0,222022.0,6175.0,228197.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,4081402.0,2
KALIMANTAN TIMUR,2019,Kalimantan,1.681488,116.419389,3738328.0,1164806.0,31035.0,1007.0,32042.0,56051.0,8812.0,64863.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4903134.0,0
KEP. RIAU,2019,Sumatera,3.945398,108.142571,2736340.0,330613.0,16782.0,249.0,17031.0,27187.0,1954.0,29141.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3066953.0,0
KEP. BANGKA BELITUNG,2019,Sumatera,-2.741051,106.440903,1913467.0,414195.0,22114.0,685.0,22799.0,34693.0,4727.0,39420.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2327662.0,0
SULAWESI UTARA,2019,Sulawesi,0.627019,123.975107,3760729.0,663923.0,36458.0,573.0,37031.0,60266.0,3809.0,64075.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),4424652.0,0
JAWA BARAT,2019,Jawa,-7.090911,107.668887,64882016.0,34639365.0,597300.0,32297.0,629597.0,1107917.0,276858.0,1384775.0,1,2,Cluster 2: Sedang / Potensial,Cluster 2: Produktivitas IMK Sedang,99521381.0,3
PAPUA PEGUNUNGAN,2019,Maluku & Papua,-4.5,138.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
GORONTALO,2019,Sulawesi,0.699526,122.446341,5826472.0,2647311.0,27535.0,1180.0,28715.0,46558.0,7551.0,54109.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),8473783.0,0
JAMBI,2019,Sumatera,-1.612129,103.611496,2387039.0,584817.0,27479.0,680.0,28159.0,44755.0,4486.0,49241.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2971856.0,0
KALIMANTAN SELATAN,2019,Kalimantan,-3.093082,115.283366,4628206.0,1434149.0,55889.0,1864.0,57753.0,87523.0,16352.0,103875.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),6062355.0,0
KALIMANTAN BARAT,2019,Kalimantan,-0.138716,109.332657,3504442.0,402520.0,42494.0,530.0,43024.0,84285.0,4139.0,88424.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3906962.0,0
JAWA TIMUR,2019,Jawa,-7.536068,112.238425,62193230.0,22744977.0,770419.0,92031.0,862450.0,1461011.0,919662.0,2380673.0,2,3,Cluster 3: Sangat Tinggi (Mikro Dominan),Cluster 3: Raksasa IMK (Mikro Dominan),84938207.0,1
PAPUA,2019,Maluku & Papua,-4.269928,138.080353,1413832.0,261546.0,15184.0,297.0,15481.0,25420.0,1913.0,27333.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1675378.0,0
JAWA TENGAH,2019,Jawa,-7.150975,110.140259,52544382.0,26674734.0,857981.0,54440.0,912421.0,1470717.0,404209.0,1874926.0,1,2,Cluster 2: Sedang / Potensial,Cluster 2: Produktivitas IMK Sedang,79219116.0,1
SULAWESI BARAT,2019,Sulawesi,-2.840676,119.23247,1089979.0,246535.0,25653.0,642.0,26295.0,45562.0,4190.0,49752.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1336514.0,0
SUMATERA SELATAN,2019,Sumatera,-3.319009,103.914399,7551551.0,1356008.0,77973.0,2334.0,80307.0,141789.0,16505.0,158294.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,8907559.0,2
SULAWESI TENGGARA,2019,Sulawesi,-4.14576,122.174605,3656325.0,204564.0,48915.0,520.0,49435.0,94800.0,3787.0,98587.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3860889.0,0
MALUKU,2019,Maluku & Papua,-3.238929,130.145295,1456260.0,137013.0,24839.0,165.0,25004.0,34652.0,1067.0,35719.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1593273.0,0
BALI,2019,Bali & Nusa Tenggara,-8.340539,115.091949,11501943.0,3561807.0,156291.0,4829.0,161120.0,234780.0,39606.0,274386.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,15063750.0,2
LAMPUNG,2019,Sumatera,-4.557573,105.406811,12252170.0,2401881.0,92214.0,2827.0,95041.0,179673.0,19361.0,199034.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,14654051.0,2
MALUKU UTARA,2019,Maluku & Papua,1.570696,127.808189,1335996.0,159397.0,13993.0,220.0,14213.0,22478.0,1340.0,23818.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1495393.0,0
NUSA TENGGARA BARAT,2019,Bali & Nusa Tenggara,-8.652406,117.361649,6642139.0,1756214.0,97511.0,10970.0,108481.0,150959.0,110536.0,261495.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,8398353.0,2
BANTEN,2019,Jawa,-6.405876,106.102921,13613687.0,4983844.0,108712.0,4427.0,113139.0,198294.0,36728.0,235022.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,18597531.0,2
SUMATERA UTARA,2019,Sumatera,2.11583,99.538753,10585776.0,4531504.0,122524.0,4628.0,127152.0,217916.0,43171.0,261087.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,15117280.0,2
KALIMANTAN TENGAH,2019,Kalimantan,-1.681488,113.382355,2505327.0,585753.0,24421.0,1042.0,25463.0,41094.0,7999.0,49093.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3091080.0,0
SULAWESI SELATAN,2019,Sulawesi,-3.665354,119.97248,9791026.0,18975866.0,124786.0,5037.0,129823.0,223659.0,38385.0,262044.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,28766892.0,2
SULAWESI TENGAH,2019,Sulawesi,-1.430318,121.445017,5618572.0,231065.0,82956.0,2423.0,85379.0,185661.0,16546.0,202207.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,5849637.0,2
KALIMANTAN UTARA,2019,Kalimantan,3.073798,116.041703,657912.0,76777.0,7032.0,162.0,7194.0,12952.0,1078.0,14030.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),734689.0,0
KEP. RIAU,2020,Sumatera,3.945398,108.142571,1251394.0,304748.0,13482.0,297.0,13779.0,22074.0,2233.0,24307.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1556142.0,0
SUMATERA SELATAN,2020,Sumatera,-3.319009,103.914399,5859708.0,1687648.0,73404.0,2165.0,75569.0,134620.0,16094.0,150714.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,7547356.0,2
DI YOGYAKARTA,2020,Jawa,-7.873783,110.425706,6280897.0,2404362.0,133132.0,4367.0,137499.0,240628.0,30896.0,271524.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,8685259.0,2
SUMATERA BARAT,2020,Sumatera,-0.739864,100.800018,7495519.0,2070089.0,91079.0,3313.0,94392.0,155646.0,21384.0,177030.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,9565608.0,2
MALUKU UTARA,2020,Maluku & Papua,1.570696,127.808189,1307239.0,241793.0,13289.0,294.0,13583.0,20765.0,1720.0,22485.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1549032.0,0
KALIMANTAN UTARA,2020,Kalimantan,3.073798,116.041703,434221.0,110838.0,4771.0,192.0,4963.0,8418.0,1607.0,10025.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),545059.0,0
KALIMANTAN TENGAH,2020,Kalimantan,-1.681488,113.382355,1892508.0,1813853.0,21774.0,1499.0,23273.0,34710.0,10323.0,45033.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3706361.0,0
KALIMANTAN SELATAN,2020,Kalimantan,-3.093082,115.283366,3455449.0,2260945.0,52798.0,2835.0,55633.0,83454.0,22231.0,105685.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),5716394.0,0
KALIMANTAN TIMUR,2020,Kalimantan,1.681488,116.419389,2262592.0,978022.0,23550.0,1094.0,24644.0,43633.0,10348.0,53981.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3240614.0,0
NUSA TENGGARA BARAT,2020,Bali & Nusa Tenggara,-8.652406,117.361649,4607349.0,2183721.0,92839.0,11749.0,104588.0,143937.0,140282.0,284219.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,6791070.0,2
SULAWESI TENGAH,2020,Sulawesi,-1.430318,121.445017,4301418.0,459318.0,81535.0,3024.0,84559.0,178605.0,19865.0,198470.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,4760736.0,2
KEP. BANGKA BELITUNG,2020,Sumatera,-2.741051,106.440903,2128497.0,392859.0,21075.0,482.0,21557.0,35638.0,3471.0,39109.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2521356.0,0
BALI,2020,Bali & Nusa Tenggara,-8.340539,115.091949,9001272.0,2873865.0,145622.0,3894.0,149516.0,221793.0,31330.0,253123.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,11875137.0,2
BANTEN,2020,Jawa,-6.405876,106.102921,11193229.0,11132367.0,100709.0,6968.0,107677.0,182853.0,52339.0,235192.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,22325596.0,2
BENGKULU,2020,Sumatera,-3.79313,102.265808,1835187.0,336832.0,19919.0,514.0,20433.0,37621.0,3354.0,40975.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2172019.0,0
SUMATERA UTARA,2020,Sumatera,2.11583,99.538753,9334141.0,5195265.0,113495.0,6668.0,120163.0,200851.0,51535.0,252386.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,14529406.0,2
RIAU,2020,Sumatera,0.293491,101.706513,5385145.0,1398048.0,48750.0,1952.0,50702.0,93070.0,13576.0,106646.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),6783193.0,0
JAWA BARAT,2020,Jawa,-7.090911,107.668887,87451650.0,33782814.0,584920.0,41023.0,625943.0,1042971.0,332159.0,1375130.0,1,2,Cluster 2: Sedang / Potensial,Cluster 2: Produktivitas IMK Sedang,121234464.0,3
PAPUA SELATAN,2020,Maluku & Papua,-6.75,140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
PAPUA PEGUNUNGAN,2020,Maluku & Papua,-4.5,138.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
GORONTALO,2020,Sulawesi,0.699526,122.446341,1328569.0,544382.0,27273.0,1363.0,28636.0,46793.0,9268.0,56061.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1872951.0,0
DKI JAKARTA,2020,Jawa,-6.211544,106.845172,7723022.0,14347068.0,46084.0,12933.0,59017.0,90962.0,103784.0,194746.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,22070090.0,2
KALIMANTAN BARAT,2020,Kalimantan,-0.138716,109.332657,3089520.0,771637.0,38187.0,962.0,39149.0,75099.0,7147.0,82246.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3861157.0,0
SULAWESI SELATAN,2020,Sulawesi,-3.665354,119.97248,9217201.0,8858165.0,121097.0,5392.0,126489.0,222034.0,42711.0,264745.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,18075366.0,2
PAPUA BARAT,2020,Maluku & Papua,-1.336246,133.174595,560754.0,259581.0,4277.0,281.0,4558.0,7626.0,1823.0,9449.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),820335.0,0
PAPUA BARAT DAYA,2020,Maluku & Papua,-1.8,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
